trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason,trade_type,pair_id,spread_level,spread_velocity,vol_zscore,regime_factor,volume,leg,entry_spread,exit_spread
17,502991,38083543270307574477098000554864957888779858086871876227130893338070513447822,No,2024-07-22,2024-07-22,0.935,0.94,0.1,0.0004999999999999866,0.5347593582887556,0,Close spread widening: Take profit: Spread widened 1.4618,,,,,,,,near,-0.730889974443965,0.730889974443965
18,502991,38083543270307574477098000554864957888779858086871876227130893338070513447822,No,2024-07-22,2024-07-22,0.965,0.94,0.1,-0.0025000000000000022,-2.5906735751295358,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=1.1529,widening,11314_502991_502991,4.921711797315346,1.1529337839666733,-47.499999999998835,0.85,113951.66,far,,
19,502991,38083543270307574477098000554864957888779858086871876227130893338070513447822,No,2024-07-22,2024-07-22,0.965,0.959,0.1,-0.0006000000000000033,-0.6217616580310915,0,Close spread widening: Stop loss: Spread compressed -6.3665,,,,,,,,near,4.921711797315346,-1.4447829476185028
20,502997,8911356256318736217058459430272638324327126209455594066311435023730434307000,No,2024-07-22,2024-07-22,0.895,0.8955,0.1,4.999999999999449e-05,0.05586592178770333,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=0.7907,widening,11314_502997_502997,-0.04358600161020121,0.7906825080502057,-47.499999999998835,0.85,94087.67,far,,
21,502997,8911356256318736217058459430272638324327126209455594066311435023730434307000,No,2024-07-22,2024-07-22,0.895,0.8955,0.1,4.999999999999449e-05,0.05586592178770333,0,Close spread widening: Take profit: Spread widened 0.0872,,,,,,,,near,-0.04358600161020121,0.04358600161020121
22,502997,8911356256318736217058459430272638324327126209455594066311435023730434307000,No,2024-07-22,2024-07-22,0.894,0.8955,0.1,0.00014999999999999736,0.1677852348993259,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=0.7783,widening,11314_502997_502997,-0.13013878234512788,0.7783178250880732,-47.499999999998835,0.85,94087.67,far,,
23,502997,8911356256318736217058459430272638324327126209455594066311435023730434307000,No,2024-07-22,2024-07-22,0.894,0.919,0.1,0.0025000000000000022,2.7964205816554832,0,Close spread widening: Take profit: Spread widened 2.5864,,,,,,,,near,-0.13013878234512788,2.456214384508108
24,502997,8911356256318736217058459430272638324327126209455594066311435023730434307000,No,2024-07-22,2024-07-22,0.9505,0.919,0.1,-0.00315,-3.314045239347711,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=1.4393,widening,11314_502997_502997,4.4969259045492365,1.4393270660729824,-47.499999999998835,0.85,94087.67,far,,
25,502997,8911356256318736217058459430272638324327126209455594066311435023730434307000,No,2024-07-22,2024-07-22,0.9505,0.9475,0.1,-0.0003000000000000086,-0.3156233561283625,0,Close spread widening: Stop loss: Spread compressed -5.0342,,,,,,,,near,4.4969259045492365,-0.5372873158344156
26,503012,65249051401503175604508646331001702166951197618261082797725172313066177225315,No,2024-07-22,2024-07-22,0.97,0.9695,0.1,-4.999999999999449e-05,-0.05154639175257164,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=0.2810,widening,11314_503012_503012,0.15093318844197157,0.2809557274798199,-47.499999999998835,0.85,77859.97,far,,
