dist,q01,q05,q50,q95,q99
observed,-10.432029972684056,-8.65204823828064,-6.126878873146277,-0.3775400798513417,1.194234539671343
prior_pred,-11.155586070366619,-9.22048724446727,-5.0037927627220125,-0.7473422448524325,1.2255754721527012
post_pred_advi,-10.711212125039957,-9.351557467991338,-6.17726443903452,-3.000720826239507,-1.6830813131946905
post_pred_nuts,-10.728715608395072,-9.423901823996351,-6.291483273856736,-3.1021305944549016,-1.8127163799201094
