,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_7,0.426,0.071,0.293,0.558,0.002,0.002,883.0,856.0,
delta_1,1.183,0.073,1.045,1.319,0.002,0.002,1190.0,1025.0,
beta_range,0.613,0.056,0.511,0.717,0.002,0.001,943.0,1024.0,
sigma,1.418,0.076,1.277,1.559,0.003,0.002,841.0,1015.0,
sigma_slug,1.012,0.066,0.892,1.14,0.002,0.002,910.0,904.0,
sigma_delta,1.07,0.482,0.337,1.962,0.016,0.019,920.0,929.0,
