,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_7,0.429,0.044,0.348,0.512,0.001,0.001,1948.0,1793.0,1.0
delta_1,1.178,0.045,1.095,1.264,0.001,0.001,1963.0,1340.0,1.0
beta_range,0.608,0.022,0.565,0.65,0.0,0.001,2448.0,1445.0,1.0
sigma,1.416,0.015,1.387,1.443,0.0,0.0,2619.0,1610.0,1.0
sigma_slug,1.017,0.031,0.963,1.081,0.001,0.001,2682.0,1345.0,1.0
sigma_delta,1.034,0.42,0.401,1.82,0.009,0.011,2818.0,1506.0,1.0
